n,t,j,p
1,1,1,0.005121996908601942
1,1,2,0.3451604189768001
1,1,3,0.019597706575693208
1,1,4,0.037258599996890754
1,1,5,0.04022641344501629
1,1,6,0.006958625732502384
1,1,7,0.14598893977834257
1,1,8,0.39968729858615276
1,2,1,0.0022252876562189974
1,2,2,0.3391680894799123
1,2,3,0.008514361744313416
1,2,4,0.06752364729462988
1,2,5,0.03952804274377787
1,2,6,0.0068378170419859914
1,2,7,0.14345442602196676
1,2,8,0.39274832801719484
1,3,1,0.0008305025633588317
1,3,2,0.1265813733947499
1,3,3,0.0031776562613174218
1,3,4,0.013663921177152871
1,3,5,0.014752313361160474
1,3,6,0.010645224096494401
1,3,7,0.08051788264502327
1,3,8,0.7498311265007428
1,4,1,0.0008305025633588317
1,4,2,0.1265813733947499
1,4,3,0.0031776562613174218
1,4,4,0.013663921177152871
1,4,5,0.014752313361160474
1,4,6,0.010645224096494401
1,4,7,0.08051788264502327
1,4,8,0.7498311265007428
1,5,1,0.0056906156149874
1,5,2,0.3834784176863349
1,5,3,0.014477768062279942
1,5,4,0.04139486507279998
1,5,5,0.0446921504580976
1,5,6,0.007731137866508352
1,5,7,0.05847644406593657
1,5,8,0.44405860117305535
1,6,1,0.0025056826330744535
1,6,2,0.3819045996717749
1,6,3,0.02168398771348719
1,6,4,0.041224978108222114
1,6,5,0.0445087312400755
1,6,6,0.007699408821310012
1,6,7,0.05823645329499921
1,6,8,0.4422361585170566
1,7,1,0.0025073999013093293
1,7,2,0.3821663377822253
1,7,3,0.007823079716779471
1,7,4,0.04125323162463087
1,7,5,0.04453923527491387
1,7,6,0.007704685606973779
1,7,7,0.07146678526449643
1,7,8,0.442539244828671
1,8,1,0.0025073999013093293
1,8,2,0.3821663377822253
1,8,3,0.007823079716779471
1,8,4,0.04125323162463087
1,8,5,0.04453923527491387
1,8,6,0.007704685606973779
1,8,7,0.07146678526449643
1,8,8,0.442539244828671
1,9,1,0.0025073999013093293
1,9,2,0.3821663377822253
1,9,3,0.007823079716779471
1,9,4,0.04125323162463087
1,9,5,0.04453923527491387
1,9,6,0.007704685606973779
1,9,7,0.07146678526449643
1,9,8,0.442539244828671
1,10,1,0.0009667634546785972
1,10,2,0.1473496305010153
1,10,3,0.0030162989036054658
1,10,4,0.01590576624863813
1,10,5,0.017172731378283065
1,10,6,0.010104673108216708
1,10,7,0.09372848420177098
1,10,8,0.7117556522037918
1,11,1,0.0009667634546785972
1,11,2,0.1473496305010153
1,11,3,0.0030162989036054658
1,11,4,0.01590576624863813
1,11,5,0.017172731378283065
1,11,6,0.010104673108216708
1,11,7,0.09372848420177098
1,11,8,0.7117556522037918
1,12,1,0.0021025008607579946
1,12,2,0.48193512891987517
1,12,3,0.006559795998124717
1,12,4,0.03459159225241397
1,12,5,0.03734696665422607
1,12,6,0.006460520362975669
1,12,7,0.05992621179244179
1,12,8,0.37107728315918476
1,13,1,0.002085241504965266
1,13,2,0.4779789403568684
1,13,3,0.014714911774623142
1,13,4,0.034307631085374934
1,13,5,0.037040386715404036
1,13,6,0.00640748617800484
1,13,7,0.059434279622548034
1,13,8,0.36803112276221134
1,14,1,0.0021025008607579946
1,14,2,0.48193512891987517
1,14,3,0.006559795998124717
1,14,4,0.03459159225241397
1,14,5,0.03734696665422607
1,14,6,0.006460520362975669
1,14,7,0.05992621179244179
1,14,8,0.37107728315918476
1,15,1,0.0021050494920452105
1,15,2,0.48251932604002795
1,15,3,0.005355557353967975
1,15,4,0.034633523847275395
1,15,5,0.03739223828739118
1,15,6,0.006468351743516858
1,15,7,0.059998853769027465
1,15,8,0.3715270994667479
2,1,1,0.002958685058878639
2,1,2,0.010444835245366602
2,1,3,0.0044448600032280985
2,1,4,0.018032110409307148
2,1,5,0.03109625330688932
2,1,6,0.055339500949987616
2,1,7,0.8394336471537875
2,1,8,0.03825010787255505
3,1,2,0.004745051930635519
3,1,3,0.00133394622374127
3,1,5,0.008715800153281023
3,1,7,0.970865805120285
3,1,8,0.009403781434209599
3,1,9,0.0012060205401368464
3,1,10,0.0031317958392943763
3,1,11,0.0005977987584164878
3,2,1,0.0029034352472134934
3,2,2,0.017124924718824257
3,2,3,0.015046160460544291
3,2,4,0.017252478785476123
3,2,5,0.06724005739507186
3,2,6,0.058026235901944695
3,2,7,0.7667974943841286
3,2,8,0.05560921310679682
3,3,1,0.0003809434640509723
3,3,2,0.0022468653813657257
3,3,3,0.0019741223752130933
3,3,4,0.002263601035467461
3,3,5,0.00882219102755881
3,3,6,0.0011395673682984765
3,3,7,0.98271684116937
3,3,8,0.00045586817867549867
3,4,2,0.00991722061981718
3,4,3,0.002787965061120494
3,4,5,0.026633167711034474
3,4,7,0.949237964545989
3,4,8,0.0020121122248682134
3,4,9,0.0036852780861807086
3,4,10,0.004476884524233731
3,4,11,0.0012494072267561196
4,1,2,0.028401072005704492
4,1,3,0.024345121716793334
4,1,5,0.02079676325757892
4,1,7,0.0011627308512391213
4,1,8,0.02839070527069624
4,1,9,0.44651140202620354
4,1,10,0.3420251993315489
4,1,11,0.10836700554023543
4,2,1,0.04948794244424775
4,2,2,0.039434535204097454
4,2,3,0.020157741163266074
4,2,4,0.004336099710087436
4,2,5,0.017219703218440786
4,2,6,0.009122468048639153
4,2,7,0.0016144373239457225
4,2,8,0.014018256943745394
4,2,9,0.3697110810615734
4,2,10,0.4748977348819567
4,3,1,0.019474058379185595
4,3,2,0.015517930283438293
4,3,3,0.0047302800682167585
4,3,4,0.0017063036918001336
4,3,5,0.006776145646506749
4,3,6,0.13386097266970245
4,3,7,0.014127025708859988
4,3,8,0.3449433055159468
4,3,9,0.1454854419162009
4,3,10,0.3133785361201423
5,1,1,0.07927261183520949
5,1,2,0.2801485693890804
5,1,3,0.01772923995247309
5,1,4,0.35247363825633216
5,1,5,0.05523638270511951
5,1,6,0.09169532519050726
5,1,7,0.052303393465842694
5,1,8,0.07114083920543544
6,1,2,0.11363386592703047
6,1,3,0.10117139402920874
6,1,5,0.04849613938926447
6,1,7,0.5249734450905547
6,1,8,0.15268981313988375
6,1,9,0.011114859091943822
6,1,10,0.017761799634746146
6,1,11,0.030158683697367898
6,2,2,0.05436790292062968
6,2,3,0.027131220384535134
6,2,5,0.0552938428681727
6,2,7,0.5985589687831165
6,2,8,0.23253657563878158
6,2,9,0.01267282880393304
6,2,10,0.011350980266363223
6,2,11,0.0080876803344683
6,3,2,0.057742626408533615
6,3,3,0.02881530900610392
6,3,5,0.05872604128377293
6,3,7,0.6357127102801327
6,3,8,0.1848985998264714
6,3,9,0.013459456404509308
6,3,10,0.012055558108395363
6,3,11,0.008589698682081124
6,4,2,0.07955117400101126
6,4,3,0.029720885071126482
6,4,5,0.06057161918019064
6,4,7,0.6556911951382463
6,4,8,0.14277773141612024
6,4,9,0.01039332181711246
6,4,10,0.012434427023913116
6,4,11,0.008859646352279656
6,5,2,0.07759509561781483
6,5,3,0.028990080258411124
6,5,5,0.044232884387041364
